Native byteorder:  little
name   mean   desp   chi2   0.05   0.95
61961_photo_manipulation_vaporwave.jpg   1.40e+02   5.99e+03   202992.3803682549   219.95242537967763   294.3206688843064
61961_photo_manipulation_vaporwave.jpg.bf-cfb   1.27e+02   5.46e+03   251.6469851654038   219.95242537967763   294.3206688843064
61961_photo_manipulation_vaporwave.jpg.bf-ofb   1.27e+02   5.44e+03   273.72965513716576   219.95242537967763   294.3206688843064
61961_photo_manipulation_vaporwave.jpg.zip   1.30e+02   5.48e+03   2433.9288911608314   219.95242537967763   294.3206688843064
A-Bachelors-Dog-painting.jpg   1.25e+02   5.30e+03   3113.1389974248737   219.95242537967763   294.3206688843064
A-Bachelors-Dog-painting.jpg.bf-cfb   1.27e+02   5.46e+03   274.62834868550175   219.95242537967763   294.3206688843064
A-Bachelors-Dog-painting.jpg.bf-ofb   1.28e+02   5.46e+03   271.370557138015   219.95242537967763   294.3206688843064
A-Bachelors-Dog-painting.jpg.zip   1.26e+02   5.35e+03   2006.8463092952627   219.95242537967763   294.3206688843064
Composition-8-kandinsky-painting.jpg   1.21e+02   5.47e+03   6372.48988448529   219.95242537967763   294.3206688843064
Composition-8-kandinsky-painting.jpg.bf-cfb   1.27e+02   5.48e+03   266.79668155711573   219.95242537967763   294.3206688843064
Composition-8-kandinsky-painting.jpg.bf-ofb   1.28e+02   5.46e+03   226.3075941289086   219.95242537967763   294.3206688843064
Composition-8-kandinsky-painting.jpg.zip   1.28e+02   5.42e+03   563.1353326441906   219.95242537967763   294.3206688843064
The-Birth-of-Venus-Painting.jpg   1.32e+02   5.52e+03   9832.974148105988   219.95242537967763   294.3206688843064
The-Birth-of-Venus-Painting.jpg.bf-cfb   1.28e+02   5.46e+03   263.9994767297516   219.95242537967763   294.3206688843064
The-Birth-of-Venus-Painting.jpg.bf-ofb   1.27e+02   5.48e+03   240.64203731642579   219.95242537967763   294.3206688843064
The-Birth-of-Venus-Painting.jpg.zip   1.29e+02   5.39e+03   1520.6781612728462   219.95242537967763   294.3206688843064
a-friend-in-need-painting.jpg   1.20e+02   5.80e+03   12690.272407680051   219.95242537967763   294.3206688843064
a-friend-in-need-painting.jpg.bf-cfb   1.27e+02   5.47e+03   289.1304791948323   219.95242537967763   294.3206688843064
a-friend-in-need-painting.jpg.bf-ofb   1.28e+02   5.44e+03   256.03929698062194   219.95242537967763   294.3206688843064
a-friend-in-need-painting.jpg.zip   1.27e+02   5.46e+03   614.3170282748426   219.95242537967763   294.3206688843064
pexels-photo-257840.jpeg   1.21e+02   5.50e+03   4958.357439418198   219.95242537967763   294.3206688843064
pexels-photo-257840.jpeg.bf-cfb   1.28e+02   5.49e+03   251.21327219946292   219.95242537967763   294.3206688843064
pexels-photo-257840.jpeg.bf-ofb   1.27e+02   5.50e+03   247.10160340758023   219.95242537967763   294.3206688843064
pexels-photo-257840.jpeg.zip   1.28e+02   5.47e+03   375.6127779835645   219.95242537967763   294.3206688843064
school-of-athens-raphael-painting.jpg   1.32e+02   5.60e+03   21661.579979425696   219.95242537967763   294.3206688843064
school-of-athens-raphael-painting.jpg.bf-cfb   1.28e+02   5.47e+03   286.4241380040212   219.95242537967763   294.3206688843064
school-of-athens-raphael-painting.jpg.bf-ofb   1.27e+02   5.46e+03   247.1601481638269   219.95242537967763   294.3206688843064
school-of-athens-raphael-painting.jpg.zip   1.32e+02   5.56e+03   12659.697631503206   219.95242537967763   294.3206688843064
the-bold-bluff.jpg   1.18e+02   5.75e+03   16717.63134698987   219.95242537967763   294.3206688843064
the-bold-bluff.jpg.bf-cfb   1.27e+02   5.44e+03   230.1271226493592   219.95242537967763   294.3206688843064
the-bold-bluff.jpg.bf-ofb   1.27e+02   5.46e+03   245.56636378765177   219.95242537967763   294.3206688843064
the-bold-bluff.jpg.zip   1.29e+02   5.44e+03   506.7525920340396   219.95242537967763   294.3206688843064
the-last-supper-mary-magdalene-painting.jpg   1.28e+02   5.51e+03   14946.111220184499   219.95242537967763   294.3206688843064
the-last-supper-mary-magdalene-painting.jpg.bf-cfb   1.28e+02   5.45e+03   259.7399320024182   219.95242537967763   294.3206688843064
the-last-supper-mary-magdalene-painting.jpg.bf-ofb   1.28e+02   5.46e+03   275.39326134864024   219.95242537967763   294.3206688843064
the-last-supper-mary-magdalene-painting.jpg.zip   1.29e+02   5.49e+03   4025.605145304812   219.95242537967763   294.3206688843064
