Native byteorder:  little
name   mean   desp   chi2   0.05   0.95
61961_photo_manipulation_vaporwave.jpg   9.20e+06   2.57e+13   52896148.60277113   16767689.127201537   16786745.146856386
61961_photo_manipulation_vaporwave.jpg.bf-cfb   8.38e+06   2.34e+13   16572366.402510112   16767689.127201537   16786745.146856386
61961_photo_manipulation_vaporwave.jpg.bf-ofb   8.39e+06   2.34e+13   16555325.384226307   16767689.127201537   16786745.146856386
61961_photo_manipulation_vaporwave.jpg.zip   8.55e+06   2.36e+13   16595172.89617904   16767689.127201537   16786745.146856386
A-Bachelors-Dog-painting.jpg   8.24e+06   2.27e+13   17007140.417402256   16767689.127201537   16786745.146856386
A-Bachelors-Dog-painting.jpg.bf-cfb   8.40e+06   2.34e+13   16722758.410916535   16767689.127201537   16786745.146856386
A-Bachelors-Dog-painting.jpg.bf-ofb   8.40e+06   2.34e+13   16728145.76623564   16767689.127201537   16786745.146856386
A-Bachelors-Dog-painting.jpg.zip   8.29e+06   2.29e+13   16788486.53738522   16767689.127201537   16786745.146856386
Composition-8-kandinsky-painting.jpg   7.99e+06   2.34e+13   16890756.56238807   16767689.127201537   16786745.146856386
Composition-8-kandinsky-painting.jpg.bf-cfb   8.37e+06   2.36e+13   16691585.03058285   16767689.127201537   16786745.146856386
Composition-8-kandinsky-painting.jpg.bf-ofb   8.43e+06   2.35e+13   16681547.813360805   16767689.127201537   16786745.146856386
Composition-8-kandinsky-painting.jpg.zip   8.38e+06   2.32e+13   16710231.741639711   16767689.127201537   16786745.146856386
The-Birth-of-Venus-Painting.jpg   8.69e+06   2.36e+13   17815083.360878088   16767689.127201537   16786745.146856386
The-Birth-of-Venus-Painting.jpg.bf-cfb   8.41e+06   2.34e+13   16687710.664064424   16767689.127201537   16786745.146856386
The-Birth-of-Venus-Painting.jpg.bf-ofb   8.37e+06   2.35e+13   16691170.962489594   16767689.127201537   16786745.146856386
The-Birth-of-Venus-Painting.jpg.zip   8.47e+06   2.32e+13   16778582.989000067   16767689.127201537   16786745.146856386
a-friend-in-need-painting.jpg   7.90e+06   2.48e+13   17207305.617636025   16767689.127201537   16786745.146856386
a-friend-in-need-painting.jpg.bf-cfb   8.36e+06   2.34e+13   16742254.251203235   16767689.127201537   16786745.146856386
a-friend-in-need-painting.jpg.bf-ofb   8.40e+06   2.33e+13   16747546.729847336   16767689.127201537   16786745.146856386
a-friend-in-need-painting.jpg.zip   8.34e+06   2.34e+13   16748952.025008287   16767689.127201537   16786745.146856386
pexels-photo-257840.jpeg   7.93e+06   2.36e+13   22192592.745984904   16767689.127201537   16786745.146856386
pexels-photo-257840.jpeg.bf-cfb   8.37e+06   2.39e+13   16758146.95943649   16767689.127201537   16786745.146856386
pexels-photo-257840.jpeg.bf-ofb   8.37e+06   2.36e+13   16751319.466658076   16767689.127201537   16786745.146856386
pexels-photo-257840.jpeg.zip   8.38e+06   2.35e+13   16796326.68537555   16767689.127201537   16786745.146856386
school-of-athens-raphael-painting.jpg   8.69e+06   2.40e+13   17686328.182125695   16767689.127201537   16786745.146856386
school-of-athens-raphael-painting.jpg.bf-cfb   8.41e+06   2.35e+13   16626075.192484833   16767689.127201537   16786745.146856386
school-of-athens-raphael-painting.jpg.bf-ofb   8.36e+06   2.35e+13   16615848.453944787   16767689.127201537   16786745.146856386
school-of-athens-raphael-painting.jpg.zip   8.67e+06   2.40e+13   17085906.411535684   16767689.127201537   16786745.146856386
the-bold-bluff.jpg   7.79e+06   2.47e+13   17199941.43898349   16767689.127201537   16786745.146856386
the-bold-bluff.jpg.bf-cfb   8.36e+06   2.35e+13   16730151.820848744   16767689.127201537   16786745.146856386
the-bold-bluff.jpg.bf-ofb   8.39e+06   2.35e+13   16726801.418198626   16767689.127201537   16786745.146856386
the-bold-bluff.jpg.zip   8.50e+06   2.33e+13   16735945.78948886   16767689.127201537   16786745.146856386
the-last-supper-mary-magdalene-painting.jpg   8.46e+06   2.36e+13   17066167.828428484   16767689.127201537   16786745.146856386
the-last-supper-mary-magdalene-painting.jpg.bf-cfb   8.38e+06   2.35e+13   16664675.85910418   16767689.127201537   16786745.146856386
the-last-supper-mary-magdalene-painting.jpg.bf-ofb   8.38e+06   2.35e+13   16671873.935608486   16767689.127201537   16786745.146856386
the-last-supper-mary-magdalene-painting.jpg.zip   8.53e+06   2.36e+13   16764090.326589063   16767689.127201537   16786745.146856386
